movieId,title,genres,directors,actors,overview,voteAverage
1,Toy Story,"['Animation', 'Adventure', 'Comedy']",['John Lasseter'],"['Tom Hanks', 'Tim Allen', 'Don Rickles']",A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.,8.3
2,Jumanji,"['Adventure', 'Comedy', 'Family']",['Joe Johnston'],"['Robin Williams', 'Kirsten Dunst', 'Bonnie Hunt']","When two kids find and play a magical board game, they release a man trapped in it for decades - and a host of dangers that can only be stopped by finishing the game.",7.1
3,Grumpier Old Men,"['Comedy', 'Romance']",['Howard Deutch'],"['Walter Matthau', 'Jack Lemmon', 'Ann-Margret']","John and Max resolve to save their beloved bait shop from turning into an Italian restaurant, just as its new female owner catches Max's attention.",6.7
4,Waiting to Exhale,"['Comedy', 'Drama', 'Romance']",['Forest Whitaker'],"['Whitney Houston', 'Angela Bassett', 'Loretta Devine']","Based on Terry McMillan's novel, this film follows four very different African-American women and their relationships with men.",6.0
5,Father of the Bride Part II,"['Comedy', 'Family', 'Romance']",['Charles Shyer'],"['Steve Martin', 'Diane Keaton', 'Martin Short']","George Banks must deal not only with his daughter's pregnancy, but also with his wife's.",6.1
6,Heat,"['Action', 'Crime', 'Drama']",['Michael Mann'],"['Al Pacino', 'Robert De Niro', 'Val Kilmer']",A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.,8.3
7,Sabrina,"['Comedy', 'Drama', 'Romance']",['Sydney Pollack'],"['Harrison Ford', 'Julia Ormond', 'Greg Kinnear']","An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.",6.3
8,Tom and Huck,"['Adventure', 'Comedy', 'Drama']",['Peter Hewitt'],"['Jonathan Taylor Thomas', 'Brad Renfro', 'Charles Rocket']",Two best friends witness a murder and embark on a series of adventures in order to prove the innocence of the man wrongly accused of the crime.,5.5
9,Sudden Death,"['Action', 'Crime', 'Thriller']",['Peter Hyams'],"['Jean-Claude Van Damme', 'Powers Boothe', 'Raymond J. Barry']",A former fireman takes on a group of terrorists holding the Vice President and others hostage during the seventh game of the NHL Stanley Cup finals.,5.8
10,GoldenEye,"['Action', 'Adventure', 'Thriller']",['Martin Campbell'],"['Pierce Brosnan', 'Sean Bean', 'Izabella Scorupco']","When a powerful secret defense system is stolen, James Bond is assigned to stop a Russian crime syndicate from using it.",7.2
11,The American President,"['Comedy', 'Drama', 'Romance']",['Rob Reiner'],"['Michael Douglas', 'Annette Bening', 'Martin Sheen']","A widowed U.S. President running for reelection and an environmental lobbyist fall in love. It's all above-board, but ""politics is perception,"" and sparks fly anyway.",6.8
12,Dracula: Dead and Loving It,"['Comedy', 'Fantasy', 'Horror']",['Mel Brooks'],"['Leslie Nielsen', 'Mel Brooks', 'Peter MacNicol']",Mel Brooks' parody of the classic vampire story and its famous film adaptations.,5.8
13,Balto,"['Animation', 'Adventure', 'Drama']",['Simon Wells'],"['Kevin Bacon', 'Bob Hoskins', 'Bridget Fonda']","An outcast Husky risks his life with other sled dogs to prevent a deadly epidemic from ravaging Nome, Alaska.",7.1
14,Nixon,"['Biography', 'Drama', 'History']",['Oliver Stone'],"['Anthony Hopkins', 'Joan Allen', 'Powers Boothe']","A biographical story of former U.S. President Richard Nixon, from his days as a young boy, to his eventual Presidency, which ended in shame.",7.1
15,Cutthroat Island,"['Action', 'Adventure', 'Comedy']",['Renny Harlin'],"['Geena Davis', 'Matthew Modine', 'Frank Langella']",A female pirate and her companion race against their rivals to find a hidden island that contains a fabulous treasure.,5.7
16,Casino,"['Crime', 'Drama']",['Martin Scorsese'],"['Robert De Niro', 'Sharon Stone', 'Joe Pesci']","In Las Vegas, two best friends--a casino executive and a Mafia enforcer--compete for a gambling empire and a fast-living, fast-loving socialite.",8.2
17,Sense and Sensibility,"['Drama', 'Romance']",['Ang Lee'],"['Emma Thompson', 'Kate Winslet', 'James Fleet']","Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The older two daughters are the title opposites.",7.7
18,Four Rooms,['Comedy'],"['Allison Anders', 'Alexandre Rockwell', 'Robert Rodriguez']","['Tim Roth', 'Antonio Banderas', 'Sammi Davis']",Four interlocking tales that take place in a fading hotel on New Year's Eve.,6.7
